Sample,total_ARG_number,high_risk_ARG_number
SHIC14,5,2
SHIC141A,7,1
SHIC14A,4,1
SHIC157A,1,NA
SHIC170,35,1
SHIC170A,12,NA
SHIC174,26,15
SHIC174A,29,18
SHIC178A,4,NA
SHIC178B,9,2
SHIC203,1,NA
SHIC203A,1,NA
SHIC212,2,1
SHIC212A,2,1
SHIC213,1,1
SHIC213A,1,1
SHIC214A,11,7
SHIC239A,3,NA
SHIC23A,2,1
SHIC243A,11,4
SHIC245,18,9
SHIC245A,18,9
SHIC247A,2,NA
SHIC249,4,2
SHIC249A,3,1
SHIC260A,8,5
SHIC262A,15,10
SHIC288A,5,5
SHIC288B,7,7
SHIC301A,10,4
SHIC47A,3,1
SHIC58A,1,NA
SHIC58B,1,NA
SHIC68A,2,NA
SHIC93,4,1
SHIC93A,4,2
SHMC11B,73,17
SHMC12B,79,12
SHMC139B,24,12
SHMC141B,2,1
SHMC14B,20,5
SHMC154A,4,3
SHMC157B,7,3
SHMC191B,21,9
SHMC207A,6,5
SHMC212B,45,19
SHMC213B,24,8
SHMC239B,37,15
SHMC243B,20,6
SHMC245A,2,1
SHMC247B,17,9
SHMC249B,19,10
SHMC262B,57,20
SHMC285A,3,2
SHMC288B,16,5
SHMC294B,56,20
SHMC34A,1,1
SHMC47B,48,21
SHMC58B,18,2
SHMC68B,21,8
SHMC78B,25,5
SHMC93B,17,7
SRR21163417,6,3
SRR21163418,37,15
SRR21163419,61,22
SRR21163421,5,2
SRR21163422,69,31
SRR21163423,90,31
SRR21163424,79,34
SRR21163425,100,38
SRR21163426,80,36
SRR21163428,81,32
SRR21163429,103,39
SRR21163430,86,36
SRR21163431,116,42
SRR21163432,106,34
SRR21163433,80,36
SRR21163434,112,35
SRR21163435,94,24
SRR21163436,114,26
SRR21163437,104,26
SRR21163439,103,23
SRR21163440,112,29
SRR21163441,99,23
SRR21163442,58,20
SRR21163443,97,26
SRR21163444,71,23
SRR21163445,53,18
SRR21163446,74,20
SRR21163447,85,24
SRR21163448,1,NA
SRR21163450,11,6
SRR21163451,11,7
SRR21163452,7,2
SRR21163453,100,34
SRR21163454,3,3
SRR21163455,40,22
SRR21163456,19,11
SRR21163457,86,28
SRR21163458,81,29
SRR21163459,74,14
SRR21163461,95,29
SRR21163463,2,NA
SRR21163464,2,1
SRR21163465,8,2
SRR21163467,3,1
SRR21163470,8,2
SRR21163473,7,2
SRR21163475,1,1
SRR21163477,3,3
SRR21163479,2,2
SRR21163480,2,2
SRR21163481,4,4
SRR21163483,3,1
SRR21163484,4,3
SRR21163486,5,5
SRR21163501,1,NA
SRR21163502,2,1
SRR21163503,4,4
SRR21163505,2,2
SRR21163506,1,1
SRR21163507,10,8
SRR21163508,2,2
SRR21163510,13,8
SRR21163511,7,5
SRR21163512,11,10
SRR21163513,164,47
SRR21163514,92,33
SRR21163515,21,14
SRR21163516,109,40
SRR21163517,95,28
SRR21163518,65,29
SRR21163519,45,21
SRR21163520,79,37
SRR21163521,76,25
SRR21163523,76,32
SRR21163524,46,26
SRR21163525,36,24
SRR21163526,11,6
SRR21163527,85,25
SRR21163528,25,12
SRR21163529,36,12
SRR21163530,11,7
SRR21163531,75,26
SRR21163532,50,19
SRR27680213,2,1
SRR27680214,8,2
SRR27680216,3,1
SRR27680219,8,2
SRR27680220,1,NA
SRR27680221,11,6
SRR27680222,11,7
SRR27680223,7,2
SRR27680225,100,34
SRR27680226,3,3
SRR27680227,40,22
SRR27680228,19,11
SRR27680229,86,28
SRR27680230,81,29
SRR27680231,75,14
SRR27680232,95,29
SRR27680234,2,NA
SRR27680235,7,2
SRR28497695,51,23
SRR28497696,129,45
SRR28497697,77,30
SRR28497698,71,31
SRR28497699,72,27
SRR28497700,59,29
SRR28497701,88,34
SRR28497702,69,24
SRR28497703,54,22
SRR28497704,79,33
SRR29354199,147,22
SRR29354200,167,23
SRR29354202,152,18
SRR29354203,160,25
SRR29354204,53,21
SRR29354205,47,17
SRR29354206,57,22
SRR29354207,158,20
SRR29354208,130,13
SRR29354210,40,5
SRR29354215,71,10
SRR29354216,51,17
SRR29354217,35,15
SRR29409633,131,16
SRR29409634,139,14
SRR29409635,143,9
SRR29409636,99,9
SRR29409637,111,9
SRR29409638,119,11
SRR29409639,123,10
SRR29409640,53,17
SRR29409641,60,20
SRR29409642,42,13
SRR29409643,52,16
SRR29409644,48,19
SRR29409645,31,15
SRR29409646,42,17
SRR29409647,70,22
SRR29409648,64,16
SRR29409649,56,17
SRR29409650,96,9
SRR29409651,50,21
SRR29409652,60,19
SRR29409653,66,21
SRR29409654,51,19
SRR29409655,46,15
SRR29409656,151,13
SRR29409657,128,15
SRR29409658,153,16
SRR29409659,143,16
SRR29409660,158,16
SRR29409661,104,8
SRR29409662,117,10
SRR29429232,136,37
SRR29429233,35,14
SRR29429234,32,14
SRR29429235,26,13
SRR29429236,12,7
SRR29429237,14,7
SRR29429238,9,7
SRR29429239,86,13
SRR29429240,158,40
SRR29429241,116,38
SRR29429242,151,37
SRR29429243,81,33
SRR29429244,134,30
SRR29429245,133,22
SRR29429246,126,19
SRR29429269,92,31
SRR29429270,125,19
SRR29429271,106,30
SRR29429272,137,24
SRR29429273,117,21
SRR29429274,77,19
SRR29429275,71,17
SRR29429276,102,14
SRR29429277,96,29
SRR29429278,123,46
SRR29429279,96,35
SRR29429280,96,36
SRR29429281,80,32
SRR29429282,106,13
SRR29429283,43,7
SRR29449358,44,21
SRR29449359,80,34
SRR29449360,74,25
SRR29449361,101,41
SRR29449362,77,28
SRR29449363,38,22
SRR29449364,52,25
SRR29449365,50,24
SRR29449366,11,7
SRR29449367,32,17
SRR29449368,4,2
SRR29449369,130,35
SRR29449370,80,40
SRR29449371,13,6
SRR29449372,8,3
SRR29449373,80,39
SRR29449374,25,13
