ARG_type,Duck_Risk_Level,Human_Risk_Level
ErmC,Risk III,Risk I
dfrA1,Risk III,Risk III
catB3,Risk III,Risk III
AAC(3)-IIc,Risk III,Risk II
APH(3')-IIa,Risk III,Risk II
QnrS1,Risk III,Risk I
Mef(En2),Risk III,Risk I
AAC(6')-Ib8,Risk III,Risk III
CTX-M-55,Risk III,Risk II
lnuG,Risk III,Risk IV
tet(W/N/W),Risk III,Risk I
CARB-3,Risk III,Risk II
OXA-1,Risk III,Risk I
vatE,Risk III,Risk IV
tet(B),Risk III,Risk I
catQ,Risk III,Risk IV
cfrA,Risk III,Risk IV
FosA2,Risk IV,Risk III
Staphylococcus intermedius chloramphenicol acetyltransferase,Risk IV,Risk V
tet(C),Risk IV,Risk I
OXA-347,Risk IV,Risk V
dfrF,Risk IV,Risk II
clcD,Risk IV,Risk IV
AAC(6')-Ia,Risk IV,Risk V
linG,Risk IV,Risk IV
FosD,Risk IV,Risk IV
dfrA15,Risk IV,Risk IV
catB8,Risk IV,Risk IV
EreA,Risk IV,Risk IV
AAC(6')-Im,Risk IV,Risk II
spd,Risk IV,Risk V
aadA17,Risk IV,Risk III
AAC(6')-Ib9,Risk IV,Risk III
vanXB,Risk IV,Risk III
msrA,Risk IV,Risk I
mphC,Risk IV,Risk I
CfxA6,Risk IV,Risk V
vanHB,Risk IV,Risk III
catB2,Risk IV,Risk IV
aadA7,Risk IV,Risk IV
mecI,Risk IV,Risk I
mecR1,Risk IV,Risk I
lsaE,Risk IV,Risk I
vanRB,Risk IV,Risk III
vanB,Risk IV,Risk III
vanSB,Risk IV,Risk III
AAC(6')-Ii,Risk V,Risk II
AAC(6')-Iid,Risk V,Risk V
ACI-1,Risk V,Risk V
ADC-43,Risk V,Risk V
ANT(3'')-IIa,Risk V,Risk I
ANT(6)-Ib,Risk V,Risk II
APH(2'')-IIIa,Risk V,Risk V
APH(2'')-IIa,Risk V,Risk III
APH(2'')-Ie,Risk V,Risk IV
APH(2'')-Ig,Risk V,Risk III
APH(3')-Ib,Risk V,Risk III
APH(3')-VIIa,Risk V,Risk IV
APH(3')-VIa,Risk V,Risk IV
APH(4)-Ia,Risk V,Risk III
Acinetobacter baumannii AbaQ,Risk V,Risk V
AcrE,Risk V,Risk I
AcrS,Risk V,Risk I
CARB-4,Risk V,Risk V
CARB-8,Risk V,Risk V
CARB-9,Risk V,Risk V
CTX-M-65,Risk V,Risk II
CblA-1,Risk V,Risk V
Clostridium perfringens mprF,Risk V,Risk V
DHA-1,Risk V,Risk IV
EreD,Risk V,Risk V
Erm(36),Risk V,Risk V
Erm(42),Risk V,Risk III
Erm(49),Risk V,Risk V
ErmQ,Risk V,Risk V
Escherichia coli acrA,Risk V,Risk V
Escherichia coli emrE,Risk V,Risk V
Escherichia coli mdfA,Risk V,Risk V
FosA3,Risk V,Risk III
