MAG	p.adj	live_rate	Group
MAG21019	0.00082	0.373737374	MAGs from other genus in Bacteroidaceae
MAG3828	0.00082	0.797979798	MAGs from Phocaeicola
MAG19413	0.00083	0.973063973	MAGs from Phocaeicola
MAG3981	0.00083	0.932659933	MAGs from other families
MAG16030	0.00084	0.872053872	MAGs from other genus in Bacteroidaceae
MAG303	0.00084	0.794612795	MAGs from other families
MAG3334	0.00084	0.909090909	MAGs from Phocaeicola
MAG12147	0.00085	0.898989899	MAGs from Phocaeicola
MAG12588	0.00085	0.851851852	MAGs from Phocaeicola
MAG22941	0.00085	0.996632997	MAGs from other families
MAG19141	0.00086	0.606060606	MAGs from other families
MAG7355	0.00086	0.7003367	MAGs from other families
MAG11882	0.00088	0.589225589	MAGs from other families
MAG15840	0.00088	0.727272727	MAGs from other families
MAG16992	0.00088	0.32996633	MAGs from other families
MAG15055	0.00089	0.841750842	MAGs from Phocaeicola
MAG8479	0.00089	0.929292929	MAGs from Phocaeicola
MAG19010	0.00092	0.478114478	MAGs from other genus in Bacteroidaceae
MAG19278	0.00092	0.484848485	MAGs from other families
MAG5337	0.00093	0.976430976	MAGs from Phocaeicola
MAG6843	0.00093	0.569023569	MAGs from other families
MAG7386	0.00093	0.858585859	MAGs from other families
MAG22062	0.00095	0.61952862	MAGs from other genus in Bacteroidaceae
MAG3962	0.00096	0.919191919	MAGs from Phocaeicola
MAG1632	0.00098	0.474747475	MAGs from Phocaeicola
MAG9334	0.00098	0.69023569	MAGs from other families
MAG996	0.00099	0.282828283	MAGs from other families
MAG19033	0.001	0.562289562	MAGs from other families
MAG19239	0.001	0.855218855	MAGs from other families
MAG22292	0.001	0.454545455	MAGs from Phocaeicola
MAG5488	0.001	0.818181818	MAGs from other families
MAG8681	0.001	0.63973064	MAGs from other families
MAG9135	0.001	0.949494949	MAGs from Phocaeicola
MAG11002	0.0011	0.612794613	MAGs from other families
MAG14292	0.0011	0.346801347	MAGs from other families
MAG15539	0.0011	0.95959596	MAGs from other families
MAG16781	0.0011	0.202020202	MAGs from other families
MAG2172	0.0011	0.28956229	MAGs from other families
MAG415	0.0011	0.616161616	MAGs from other genus in Bacteroidaceae
MAG4357	0.0011	0.919191919	MAGs from other genus in Bacteroidaceae
MAG6088	0.0011	0.747474747	MAGs from other families
MAG13048	0.0012	0.767676768	MAGs from other families
MAG13178	0.0012	0.531986532	MAGs from other families
MAG1508	0.0012	0.383838384	MAGs from Phocaeicola
MAG16703	0.0012	0.942760943	MAGs from Phocaeicola
MAG21590	0.0012	0.804713805	MAGs from other families
MAG2684	0.0012	0.387205387	MAGs from other families
MAG3571	0.0012	0.905723906	MAGs from other genus in Bacteroidaceae
MAG4830	0.0012	0.962962963	MAGs from Phocaeicola
MAG5467	0.0012	0.878787879	MAGs from other families
MAG8414	0.0012	0.646464646	MAGs from other families
MAG8981	0.0012	0.892255892	MAGs from Phocaeicola
MAG10969	0.0013	0.875420875	MAGs from Phocaeicola
MAG14300	0.0013	0.888888889	MAGs from other genus in Bacteroidaceae
MAG20488	0.0013	0.437710438	MAGs from other families
MAG20517	0.0013	0.225589226	MAGs from Phocaeicola
MAG22984	0.0013	0.390572391	MAGs from other families
MAG3029	0.0013	0.996632997	MAGs from Phocaeicola
MAG3350	0.0013	0.96969697	MAGs from Phocaeicola
MAG402	0.0013	0.383838384	MAGs from other genus in Bacteroidaceae
MAG11363	0.0014	0.855218855	MAGs from Phocaeicola
MAG14216	0.0014	0.245791246	MAGs from other families
MAG15009	0.0014	0.835016835	MAGs from other families
MAG166	0.0014	0.414141414	MAGs from other families
