ARG_type,ARG_count,MGE_Number_per_kb_Sum,ARG_count_log2,MGE_count_log2
ErmX,252,85.144578,7.98299357469431,6.428688089960025
ErmY,22,4.152812,4.523561956057013,2.3653599568193973
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",277,0,8.118941072723507,0
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,291,0,8.189824558880018,0
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,435,0,8.768184324776927,0
Escherichia coli acrA,219,0,7.78135971352466,0
Escherichia coli ampC beta-lactamase,11,0,3.584962500721156,0
Escherichia coli emrE,227,0,7.832890014164741,0
Escherichia coli mdfA,196,0,7.6220518194563764,0
Escherichia coli parE conferring resistance to fluoroquinolones,1,0,1,0
Escherichia coli soxR with mutation conferring antibiotic resistance,359,0,8.491853096329674,0
Escherichia coli soxS with mutation conferring antibiotic resistance,360,0,8.49585502688717,0
EstT,317,29.541677,8.312882955284355,4.932707375527675
FosA2,9,4.814227,3.321928094887362,2.5395873985091013
FosA3,64,0,6.022367813028454,0
FosA7.5,16,0,4.087462841250339,0
FosA8,16,2.444885,4.087462841250339,1.78445582249446
FosB3,292,2.36238,8.194756854422248,1.749482780236051
FosBx1,41,5.52935,5.392317422778761,2.7069393779199675
FosD,24,1.868186,4.643856189774724,1.5201385849102982
FosG,1,0,1,0
FosK,2,0,1.584962500721156,0
FosXCC,683,27.713457,9.417852514885897,4.843655131336732
FusF,2,0,1.584962500721156,0
H-NS,287,0,8.169925001442312,0
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,242,0,7.924812503605781,0
HelR,2,0,1.584962500721156,0
Helicobacter pylori rpoB mutation conferring resistance to rifampicin,112,0,6.820178962415188,0
ICR-Mo,2,0,1.584962500721156,0
Klebsiella pneumoniae KpnE,294,0,8.204571144249204,0
Klebsiella pneumoniae KpnF,310,0,8.280770770130603,0
Klebsiella pneumoniae KpnG,22,0,4.523561956057013,0
Klebsiella pneumoniae KpnH,87,0,6.459431618637297,0
Klebsiella pneumoniae OmpK37,24,0,4.643856189774724,0
