Breed,Best_Hit_ARO,Total_Abundance
JRD,Clostridioides difficile gyrB conferring resistance to fluoroquinolones,0
JRD,Clostridium perfringens mprF,4.3963501875
JRD,Corynebacterium striatum tetA,0
JRD,CrcB,0
JRD,DHA-1,0
JRD,DfrA37,0.0121410625
JRD,DfrB9,0
JRD,EBR-5,0.004299125
JRD,EC-14,0.584275375
JRD,EC-15,0.7560494375
JRD,EreA,8.3025e-4
JRD,EreD,0.088773625
JRD,Erm(34),0
JRD,Erm(35),1.12430575
JRD,Erm(36),0.0289379375
JRD,Erm(42),0.0010636875
JRD,Erm(48),0
JRD,Erm(49),0
JRD,Erm(51),0.008978125
JRD,Erm(52),0.19406856249999999
JRD,ErmA,10.373604625
JRD,ErmB,11.9338415
JRD,ErmC,0.008958625
JRD,ErmF,0.3732661875
JRD,ErmG,0.2217589375
JRD,ErmQ,10.351622375
JRD,ErmT,0.056605
JRD,ErmX,0.0912779375
JRD,ErmY,0.002749625
JRD,"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",1.1895013125
JRD,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,1.65388325
JRD,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,0.9570419375
JRD,Escherichia coli acrA,0.4421679375
JRD,Escherichia coli ampC beta-lactamase,0.1399003125
JRD,Escherichia coli emrE,0.84282875
JRD,Escherichia coli mdfA,0.95995575
JRD,Escherichia coli parE conferring resistance to fluoroquinolones,0
JRD,Escherichia coli soxR with mutation conferring antibiotic resistance,0.128805875
JRD,Escherichia coli soxS with mutation conferring antibiotic resistance,4.2482336875
JRD,EstT,0.1479046875
JRD,FosA2,0
JRD,FosA3,0
JRD,FosA7.5,0.002773125
JRD,FosA8,0.0261645
JRD,FosB3,0.0193181875
JRD,FosBx1,0.0848319375
JRD,FosD,0
JRD,FosG,0
JRD,FosI,2.11013475
JRD,FosK,0
JRD,FosXCC,0.26937675
JRD,FusF,0
JRD,H-NS,1.851284
JRD,Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,0.7694108125
JRD,HelR,0
JRD,Helicobacter pylori rpoB mutation conferring resistance to rifampicin,0.37472575
JRD,ICR-Mo,0
JRD,Klebsiella pneumoniae KpnE,2.9248208125
JRD,Klebsiella pneumoniae KpnF,1.99198025
JRD,Klebsiella pneumoniae KpnG,0
JRD,Klebsiella pneumoniae KpnH,0.9263464375
JRD,Klebsiella pneumoniae OmpK37,0
JRD,Limosilactobacillus reuteri cat-TC,0
JRD,LlmA 23S ribosomal RNA methyltransferase,0
JRD,LnuH,0.061182187500000006
JRD,LnuP,3.7497225
JRD,LptD,0
JRD,MCR-1.1,0
JRD,Mef(En2),2.7898947499999998
JRD,Morganella morganii gyrB conferring resistance to fluoroquinolones,0
JRD,Mrx,0.0047135625
JRD,Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,0
JRD,Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,0
JRD,Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,0.00944875
JRD,NDM-5,0
