Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
ICH258-1A,7.962491,24.296427,Duck
ICH259-1A,8.024721,12.225776,Duck
ICH263-1A,2.355103,3.490064,Duck
ICH277-1A,0.047072,0.047072,Duck
ICH287-1A,0.232325,2.803934,Duck
ICH294-1A,0.327945,0.327945,Duck
ICH295-1A,0.61783,0.61783,Duck
ICH306-1A,0.345173,1.76731,Duck
ICH323-1A,0.790465,0.790465,Duck
ICH324-1A,0.810305,1.347918,Duck
ICH325-1A,0.222628,0.423673,Duck
ICH326-1A,1.850813,2.228643,Duck
ICH328-1A,0.675324,0.675324,Duck
ICH340-1A,0,0.305554,Duck
ICH346-1A,0.287329,1.127376,Duck
ICH57-1A,26.833103,60.510381,Duck
ICH93-1A,0,0,Duck
ICH95-1A,0,0,Duck
JCH108-1A,1.459296,2.311125,Duck
JCH111-1A,1.161773,1.298402,Duck
JCH112-1A,2.040167,3.741427,Duck
JCH119-1A,2.020155,3.56133,Duck
JCH127-1A,3.032917,3.874163,Duck
JCH157-1A,236.165351,494.191164,Duck
JCH180-1A,1.588403,4.764328,Duck
JCH206-1A,1.543668,1.97569,Duck
JCH209-1A,6.181644,57.202588,Duck
JCH210-1A,1.32691,1.676856,Duck
JCH247-1A,12.804572,52.881757,Duck
JCH250-1A,1.147929,1.363274,Duck
JCH258-1A,1.124376,3.124721,Duck
JCH259-1B,4.129364,8.54508,Duck
JCH263-1A,0,0.576367,Duck
JCH277-1A,0,0,Duck
JCH287-1A,0,0.458388,Duck
JCH294-1A,0.48435,0.650348,Duck
JCH295-1A,0.137939,0.137939,Duck
JCH306-1A,0,0.115203,Duck
JCH323-1A,0.407824,0.744256,Duck
JCH324-1A,0.269252,0.496787,Duck
JCH325-1A,0,0,Duck
JCH326-1A,1.13354,1.350268,Duck
JCH328-1A,0,1.920994,Duck
JCH340-1A,0.700936,0.700936,Duck
JCH346-1A,0.141899,0.555934,Duck
JCH57-1A,3.792732,6.716099,Duck
JCH74-1A,2.840237,3.708795,Duck
JCH93-1A,1.193318,3.647973,Duck
JCH95-1A,1.133774,1.685199,Duck
MCH108B,82.881188,253.507911,Duck
MCH111A,10.595261,27.039743,Duck
MCH112B,23.195855,93.633777,Duck
MCH119B,35.401033,104.706905,Duck
MCH127B,25.449404,83.053156,Duck
MCH151A,0.358348,2.072788,Duck
MCH156B,0.150169,1.058141,Duck
MCH221A,13.678031,85.396244,Duck
MCH259B,19.816685,57.949689,Duck
MCH277B,29.54026,98.886217,Duck
MCH287B,11.714022,53.726418,Duck
MCH294B,9.47769,33.105274,Duck
MCH295B,20.072108,117.607854,Duck
MCH306A,1.268245,5.520962,Duck
MCH323B,15.824242,80.282289,Duck
MCH324B,44.811214,168.913206,Duck
MCH325B,64.315759,168.781701,Duck
