Sample,total_abundance,gut_locations
SHCC300A,249.309399,large_intestine
SHCC168A,248.965711,large_intestine
SHCC180A,248.943647,large_intestine
SHCC18A,248.645214,large_intestine
BKDN170794160-1A,248.541577,Feces
BKDN170794551-1A,248.409382,Feces
CCY28A,247.881109,large_intestine
SRR21163519,247.703048,large_intestine
SRR29409642,247.596569,large_intestine
BKDN170796421-1A,247.346908,Feces
SRR21163529,247.266601,large_intestine
BKDN170794480-1A,246.930084,Feces
SRR21163532,246.889889,large_intestine
SHCC88B,246.699786,large_intestine
SRR21163528,246.574785,large_intestine
CCY27A,246.337246,large_intestine
CCY24A,246.195369,large_intestine
SHCC266B,246.156459,large_intestine
CCY13A,245.624603,large_intestine
SHCC197A,245.225467,large_intestine
BKDN170793898-1A,244.956379,Feces
CCY44A,244.700932,large_intestine
SHCC178A,244.60709,large_intestine
SHCC224A,243.884231,large_intestine
SHCC27A,243.883145,large_intestine
SHCC202A,243.784337,large_intestine
SHCC29A,243.779706,large_intestine
FH157B,243.108746,Feces
BKDN170795744-1A,243.052013,Feces
CCH127-1A,242.858847,large_intestine
FH151A,242.441949,Feces
FJY28A,242.35228,Feces
FH251B,241.896144,Feces
CCY36B,241.263857,large_intestine
SHCC76A,241.228141,large_intestine
SHCC253A,241.225145,large_intestine
FH221B,240.783315,Feces
SHCC31A,240.677105,large_intestine
SHCC45A,240.414921,large_intestine
SRR29536180,240.390743,large_intestine
SHCC124B,240.342742,large_intestine
BKDN170795738-1A,240.071695,Feces
SHCC190A,240.001187,large_intestine
SHCC244A,239.981005,large_intestine
FJY17A,239.892819,Feces
SRR29409648,239.554451,large_intestine
SHCC106A,239.545692,large_intestine
SHCC192A,239.252091,large_intestine
SHCC287A,239.178048,large_intestine
SHCC299B,238.725477,large_intestine
SHCC112A,238.68129,large_intestine
SHCC270A,238.579698,large_intestine
SHCC73A,238.341167,large_intestine
SHCC256A,238.327261,large_intestine
CCH263-2A,238.309448,large_intestine
SHCC166A,238.134656,large_intestine
SHCC177A,237.085371,large_intestine
CCY43A,236.947566,large_intestine
SHCC264A,236.528634,large_intestine
SHCC66A,236.412273,large_intestine
SHCC184A,236.105094,large_intestine
SHCC8A,235.838652,large_intestine
CCY30A,235.471098,large_intestine
SHCC246A,235.423692,large_intestine
SHCC230A,235.11009,large_intestine
FDM28B,235.076693,Feces
SHCC138A,235.046368,large_intestine
SHCC148A,234.847681,large_intestine
SHCC78A,234.423516,large_intestine
BKDN170794161-1A,234.36441,Feces
FJY53A,234.281167,Feces
SHCC50A,233.997138,large_intestine
CCH227-3A,233.889905,large_intestine
CCH210A,233.884893,large_intestine
SHCC91A,233.699807,large_intestine
SHCC189A,233.596062,large_intestine
FM17B,233.542926,Feces
CCH324-4A,232.503125,large_intestine
BKDN170793839-1A,232.352828,Feces
SHCC92A,231.939229,large_intestine
SHCC38A,231.923699,large_intestine
CCH156-3B,231.767328,large_intestine
SHCC186A,231.55413,large_intestine
SHCC232A,231.387111,large_intestine
SHCC128A,231.378069,large_intestine
SHCC231A,231.348022,large_intestine
CCH306-2A,231.31942,large_intestine
SHCC219A,231.304275,large_intestine
SHCC240A,231.28101,large_intestine
CCH112-2A,230.657528,large_intestine
SHCC208A,230.571945,large_intestine
SHCC74A,230.456379,large_intestine
SHCC3A,230.258762,large_intestine
FJY44A,230.205165,Feces
SHCC71A,230.144958,large_intestine
SHCC292A,230.0846,large_intestine
FDM19A,229.938714,Feces
SHCC32A,229.721866,large_intestine
FH111B,229.509017,Feces
SHCC95A,228.717982,large_intestine
SHCC207A,228.523422,large_intestine
SRR29429245,228.243445,large_intestine
FDM33A,227.942243,Feces
SHCC229A,227.528914,large_intestine
BKDN170794165-1A,227.30558,Feces
SHCC143A,226.775904,large_intestine
SHCC126A,226.698342,large_intestine
SHCC171A,226.169358,large_intestine
SHCC135A,226.156858,large_intestine
SHCC10A,226.09107,large_intestine
SHCC283A,226.048057,large_intestine
BKDN170794329-1A,225.915976,Feces
SHCC46B,225.561486,large_intestine
SHCC296A,224.876409,large_intestine
SHCC58A,224.754547,large_intestine
SHCC114A,224.617284,large_intestine
SHCC16A,224.447458,large_intestine
SHCC56A,223.651921,large_intestine
SHCC113A,223.601916,large_intestine
SHCC193A,223.324867,large_intestine
BKDN170795742-1A,223.28234,Feces
SHCC103A,222.953089,large_intestine
CCH277-1A,222.949659,large_intestine
SHCC267A,222.907166,large_intestine
SHCC188A,222.877752,large_intestine
CCH340-2A,222.602624,large_intestine
CCS34A,221.860841,large_intestine
SHCC209A,221.769943,large_intestine
CCH93-1A,221.581359,large_intestine
SHCC290A,221.534172,large_intestine
SHCC43A,221.426364,large_intestine
FM1B,221.232909,Feces
SHCC259A,221.20255,large_intestine
BKDN170794064-1A,220.923462,Feces
SHCC241A,220.746682,large_intestine
CCH251-1A,220.721839,large_intestine
SHCC12A,220.493928,large_intestine
SHCC297B,220.485799,large_intestine
SHCC104A,220.334419,large_intestine
SHCC205A,219.594072,large_intestine
SHCC250A,219.592957,large_intestine
SHCC155A,219.504746,large_intestine
CCH95-1A,219.474124,large_intestine
SHCC122B,219.376343,large_intestine
SHCC248A,218.818602,large_intestine
SHCC77B,218.806389,large_intestine
CCH259-3A,218.586697,large_intestine
FDM15A,218.491717,Feces
SHCC67A,218.371671,large_intestine
SHCC149A,217.900298,large_intestine
SHCC87A,217.607521,large_intestine
SHCC49A,217.094033,large_intestine
SHCC110A,217.016813,large_intestine
SHCC85B,216.710089,large_intestine
CCH346-1A,216.660016,large_intestine
SHCC75A,216.5425,large_intestine
SHCC25A,216.357337,large_intestine
CCY33B,216.350287,large_intestine
BKDN170794392-1A,216.277112,Feces
CCH108A,215.900542,large_intestine
SHCC36A,215.657445,large_intestine
SRR29449371,215.641181,large_intestine
SHCC53A,215.493069,large_intestine
FDM25B,215.112082,Feces
SHCC90A,215.035959,large_intestine
BKDN170795999-1A,214.410865,Feces
CCH111-1A,213.634616,large_intestine
BKDN170796077-1A,213.608648,Feces
SHCC164B,213.16941,large_intestine
SHCC213A,213.072188,large_intestine
SHCC115A,212.545839,large_intestine
SHCC161A,212.483576,large_intestine
SHCC59A,212.341645,large_intestine
SHCC236A,212.02638,large_intestine
CCH212A,211.90528,large_intestine
SHCC146A,211.857236,large_intestine
SHCC195A,211.827413,large_intestine
SHCC258A,211.338261,large_intestine
SHCC93A,210.802665,large_intestine
SHCC151A,210.223793,large_intestine
BKDN170795577-1A,209.563265,Feces
SHCC80A,208.819334,large_intestine
SRR29536178,208.752294,large_intestine
SHCC89A,208.485429,large_intestine
SHCC203A,208.415269,large_intestine
SHCC117A,208.410478,large_intestine
SHCC116A,207.979647,large_intestine
SHCC108A,207.507463,large_intestine
SHCC278A,207.421681,large_intestine
CCS19A,207.363609,large_intestine
SHCC269A,207.192565,large_intestine
SHCC225B,207.068896,large_intestine
FM3B,206.567694,Feces
SRR21163418,206.228633,large_intestine
CCH221-1A,206.024401,large_intestine
CCH294-1A,205.809854,large_intestine
SHCC221A,205.745286,large_intestine
SHCC55A,205.709676,large_intestine
CCH180-3A,205.634032,large_intestine
