mag,Family,Genus
CCH326A_bin.34,f__Mucispirillaceae,unknown
CCH326A_bin.36,f__Tannerellaceae,g__Parabacteroides
CCH326A_bin.37,f__Succinivibrionaceae,g__Anaerobiospirillum
CCH326A_bin.5,f__UBA660,g__Faecenecus
CCH326A_bin.6,f__Muribaculaceae,g__Limisoma
CCH326A_bin.7,f__Selenomonadaceae,g__Megamonas
CCH326_bin_with_2dai_data_bin.1,f__Ruminococcaceae,g__Anaerofilum
CCH326_bin_with_2dai_data_bin.10,f__Acutalibacteraceae,g__Fimenecus
CCH326_bin_with_2dai_data_bin.13,f__Butyricicoccaceae,g__Butyricicoccus
CCH326_bin_with_2dai_data_bin.16,f__Mucispirillaceae,g__Mucispirillum
CCH326_bin_with_2dai_data_bin.19,f__Butyricicoccaceae,g__Pseudobutyricicoccus
CCH326_bin_with_2dai_data_bin.2,f__Mucispirillaceae,g__Mucispirillum
CCH326_bin_with_2dai_data_bin.24,f__Lachnospiraceae,g__Egerieimonas_A
CCH326_bin_with_2dai_data_bin.27,f__Acidaminococcaceae,g__URXU01
CCH326_bin_with_2dai_data_bin.28,f__Butyricicoccaceae,g__Butyricicoccus
CCH326_bin_with_2dai_data_bin.30,f__Anaerotignaceae,g__Metalachnospira
CCH326_bin_with_2dai_data_bin.31,f__Bacteroidaceae,g__43-108
CCH326_bin_with_2dai_data_bin.33,f__Succinivibrionaceae,g__CALXNP01
CCH326_bin_with_2dai_data_bin.36,f__Anaerotignaceae,g__Fimicola
CCH326_bin_with_2dai_data_bin.37,f__Bacteroidaceae,g__Phocaeicola
CCH326_bin_with_2dai_data_bin.4,f__Acutalibacteraceae,unknown
CCH326_bin_with_2dai_data_bin.40,f__Desulfovibrionaceae,g__Desulfovibrio
CCH326_bin_with_2dai_data_bin.43,f__CAG-239,g__CAJLXD01
CCH326_bin_with_2dai_data_bin.49,f__Acidaminococcaceae,g__CAG-266
CCH326_bin_with_2dai_data_bin.5,f__Gastranaerophilaceae,g__Limenecus
