ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
Vibrio anguillarum chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Ruthenibacterium,g_Ruthenibacterium,s_Ruthenibacterium lactatiformans,14
adeF,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,14
dfrE,diaminopyrimidine,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus faecalis,14
fosA5,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,14
lnuD,lincosamide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Streptococcaceae,g_Streptococcus,g_Streptococcus,s_Streptococcus uberis,14
nimJ,nitroimidazole,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Epsilonproteobacteria,o_Campylobacterales,f_Campylobacteraceae,g_Campylobacter,g_Campylobacter,s_Campylobacter coli,14
rsmA,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,14
tet(32),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_Enterocloster,g_Enterocloster,s_Enterocloster clostridioformis,14
tet(44),tetracycline,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Clostridioides,g_Clostridioides,s_Clostridioides difficile,14
tet(Z),tetracycline,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,o_Micrococcales,f_Micrococcaceae,g_Micrococcus,g_Micrococcus,s_Micrococcus luteus,14
vanWB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_unknown,g_unknown,Other,s_Clostridiales bacterium,14
vanYB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Eubacteriaceae,g_Eubacterium,g_Eubacterium,s_Eubacterium sp. An3,14
vanYB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_Mediterraneibacter,g_Mediterraneibacter,s_Mediterraneibacter glycyrrhizinilyticus,14
vanYG,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_Lachnoclostridium,g_Lachnoclostridium,s_Lachnoclostridium sp. An169,14
EreD,macrolide,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Flavobacteriia,o_Flavobacteriales,f_Weeksellaceae,g_Riemerella,g_Riemerella,s_Riemerella anatipestifer,13
Erm(49),multidrug,k_Bacteria,p_Actinobacteria,p_Actinobacteria,c_Actinomycetia,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,g_Bifidobacterium,s_Bifidobacterium longum,13
ErmB,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Faecalibacterium,g_Faecalibacterium,s_Faecalibacterium prausnitzii,13
EstT,multidrug,k_Bacteria,p_Verrucomicrobia,p_Verrucomicrobia,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,g_Akkermansia,s_Akkermansia sp. BIOML-A32,13
FosA7.5,phosphonic acid,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,NA,Other,NA,13
H-NS,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,13
LptD,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,13
QnrB6,fluoroquinolone,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,NA,NA,NA,Other,NA,13
Staphylococcus intermedius chloramphenicol acetyltransferase,phenicol,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,g_Staphylococcus,NA,13
arr-3,rifamycin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pasteurellales,f_Pasteurellaceae,g_Pasteurella,g_Pasteurella,s_Pasteurella multocida,13
baeR,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Shigella,g_Shigella,s_Shigella sonnei,13
cfrA,multidrug,k_Bacteria,p_Bacteroidetes,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotella,g_Prevotella,s_Prevotella copri,13
dfrF,diaminopyrimidine,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Peptostreptococcaceae,g_Clostridioides,g_Clostridioides,s_Clostridioides difficile,13
dfrG,diaminopyrimidine,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus cecorum,13
efrA,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus faecalis,13
emrR,fluoroquinolone,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,13
lnuA,lincosamide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Limosilactobacillus,g_Limosilactobacillus,s_Limosilactobacillus reuteri,13
lnuC,lincosamide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Erysipelotrichia,o_Erysipelotrichales,f_Erysipelotrichaceae,g_Holdemanella,g_Holdemanella,s_Holdemanella porci,13
mefH,macrolide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Lachnospiraceae,g_Mediterraneibacter,g_Mediterraneibacter,s_[Ruminococcus] gnavus,13
