Sample,total_abundance,gut_locations
FJY75A,273.123119,Feces
CCH323-3A,272.873192,large_intestine
SRR29449374,272.712413,large_intestine
FH157B,272.317784,Feces
SHCC270A,272.030837,large_intestine
BKDN170796253-1A,271.905575,Feces
BKDN170795838-1A,271.804621,Feces
SHCC178A,271.607893,large_intestine
SHCC164B,271.437356,large_intestine
BKDN170796173-1A,271.365135,Feces
BKDN170794160-1A,271.330533,Feces
SHCC122B,271.038733,large_intestine
BKDN170794548-1A,270.969913,Feces
SHCC184A,270.508483,large_intestine
SHCC232A,270.463414,large_intestine
SHCC299B,270.350516,large_intestine
CCH180-3A,270.280687,large_intestine
CCH108A,270.088178,large_intestine
SHCC16A,270.022141,large_intestine
FJY18A,269.260178,Feces
SHCC230A,269.116897,large_intestine
SHCC75A,268.450178,large_intestine
SHCC103A,268.273712,large_intestine
CCH251-1A,268.080595,large_intestine
SHCC246A,268.044286,large_intestine
BKDN170796085-1A,267.723872,Feces
SHCC207A,267.704824,large_intestine
CCH111-1A,267.454684,large_intestine
SHCC43A,267.249727,large_intestine
BKDN170794805-1A,267.04109,Feces
SRR21163419,266.993204,large_intestine
SHCC126A,266.741633,large_intestine
SHCC250A,266.515522,large_intestine
CCH212A,266.243409,large_intestine
BKDN170795140-1A,265.995767,Feces
SHCC149A,265.863113,large_intestine
SHCC58A,265.784252,large_intestine
SHCC32A,265.131488,large_intestine
SHCC209A,264.848442,large_intestine
SHCC92A,264.582504,large_intestine
SHCC231A,264.237699,large_intestine
SHCC135A,263.943083,large_intestine
SHCC71A,263.683189,large_intestine
SHCC197A,263.498655,large_intestine
SHCC171A,263.354172,large_intestine
CCH294-1A,262.997317,large_intestine
BKDN170795739-1A,262.932583,Feces
SHCC208A,262.228241,large_intestine
SHCC3A,262.091204,large_intestine
SHCC91A,261.259792,large_intestine
SHCC53A,260.467654,large_intestine
SHCC186A,260.31239,large_intestine
SRR29409651,260.009559,large_intestine
SHCC148A,259.957422,large_intestine
FDM5B,259.505384,Feces
BKDN170794161-1A,259.334852,Feces
CCH250-2A,259.278586,large_intestine
BKDN170794001-1A,259.253669,Feces
SHCC241A,259.183067,large_intestine
SHCC297B,258.813094,large_intestine
BKDN170794385-1A,258.69784,Feces
BKDN170795837-1A,258.168629,Feces
SRR29409642,257.705084,large_intestine
CCH346-1A,257.483656,large_intestine
ICH247-1A,257.222766,small_intestine
SHCC102A,257.132975,large_intestine
SHCC161A,257.051225,large_intestine
SHCC110A,256.958772,large_intestine
SHCC77B,256.894628,large_intestine
SRR21163532,256.881069,large_intestine
BKDN170793895-1A,256.794702,Feces
SHCC188A,256.740225,large_intestine
SHCC296A,256.068095,large_intestine
SHCC25A,255.86415,large_intestine
SHCC143A,255.796397,large_intestine
SHCC248A,255.77702,large_intestine
SHCC283A,255.556809,large_intestine
SHCC10A,255.045899,large_intestine
SHCC114A,254.766333,large_intestine
SHCC67A,254.739448,large_intestine
SHCC229A,254.443138,large_intestine
SHCC128A,254.41223,large_intestine
BKDN170794387-1A,254.001413,Feces
SHCC225B,253.706515,large_intestine
SHCC146A,253.694602,large_intestine
SHCC95A,253.483974,large_intestine
SHCC113A,253.276611,large_intestine
SHCC90A,253.243775,large_intestine
SHCC104A,253.229048,large_intestine
FDM26A,252.918305,Feces
SHCC151A,252.893219,large_intestine
SHCC115A,252.817839,large_intestine
SRR29354204,252.662702,large_intestine
SRR29409649,252.390094,large_intestine
SHCC263A,252.321273,large_intestine
SRR21163457,252.116366,small_intestine
SRR27680229,252.073644,small_intestine
SHCC205A,251.969359,large_intestine
BKDN170793901-1A,251.741767,Feces
SHCC12A,251.23102,large_intestine
BKDN170796413-1A,251.200026,Feces
SHCC259A,250.936002,large_intestine
BKDN170795743-1A,250.76321,Feces
SHCC36A,250.358317,large_intestine
SHCC292A,249.869598,large_intestine
SHCC117A,249.747085,large_intestine
SHCC6A,249.574908,large_intestine
FDM6A,249.175242,Feces
SHCC85B,249.110638,large_intestine
SRR29409658,248.278338,large_intestine
SHCC17A,248.186116,large_intestine
BKDN170795744-1A,248.101281,Feces
FM18B,247.936997,Feces
BKDN170794149-1A,247.518662,Feces
SHCC49A,247.29274,large_intestine
SRR29409655,246.983808,large_intestine
SHCC278A,246.758316,large_intestine
