traits	g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
LIPID-P-1284	0.0147952266596334	-0.043357538	-0.009677118	-0.020698833	-0.049248643
LIPID-P-0057	0.0110574364811653	-0.008433164	0.0326589427763975	0.0330258926123879	0.019597923214858
LIPID-P-0064	0.0188530107416306	-0.020052916	-0.063571088	0.0578937349939998	0.0489958120047803
LIPID-P-0083	0.0582402124775006	0.0409655465518156	-0.01168576	0.0937297593480935	0.0920009848405079
LIPID-P-0073	0.00590004488309573	-0.023831076	-0.013805479	0.0388002639943579	0.0263206869906986
LIPID-P-0068	-0.044938626	-0.102127771	-0.053657275	-0.013487321	-0.01737698
LIPID-P-2000	-0.12278303	-0.093709437	-0.068136926	-0.105593998	-0.148810865
LIPID-P-1991	-0.030104989	0.0305517417130239	-0.047470594	-0.001745654	-0.018244761
LIPID-P-1985	-0.076073146	-0.096671027	-0.091310822	-0.107231012	-0.106129176
LIPID-P-1981	-0.061697599	-0.058235129	-0.039312453	-0.047216744	-0.083651338
LIPID-P-1956	-0.029863454	-0.047755619	-0.016058027	-0.029882974	-0.061292815
LIPID-P-1975	-0.091920222	-0.128195082	-0.080133686	-0.069519243	-0.096935969
LIPID-P-1968	0.0489931474192975	-0.031899328	-0.060593609	-0.020160809	-0.013575223
LIPID-P-1961	-0.087526394	-0.080563784	-0.135714753	-0.09194512	-0.097999961
LIPID-P-1953	-0.05517752	-0.042412448	-0.017551549	-0.070199335	-0.082323911
LIPID-P-1976	-0.083055012	-0.1176902	-0.053945455	-0.096025563	-0.108950135
LIPID-P-2627	-0.057356432	-0.037771906	-0.03917083	-0.05358713	-0.077869986
LIPID-P-2624	-0.056751204	-0.026213119	0.0268028724447918	-0.03708704	-0.072999164
LIPID-P-2602	-0.066166937	-0.022337903	-0.017330784	-0.04835179	-0.074539486
LIPID-P-2583	-0.045102421	-0.03514555	-0.011740373	-0.01739446	-0.029033094
LIPID-P-2579	-0.048460787	-0.043798966	-0.104828889	-0.039019166	-0.042942309
LIPID-P-2539	0.0232633249582402	-0.021110327	-0.028817068	-0.038131745	-0.033955385
LIPID-P-2526	-0.07649988	-0.097000829	-0.082416425	-0.117947462	-0.153001595
LIPID-P-2520	-0.020075237	-0.078843645	0.0370455573818633	-0.023514673	-0.034871998
LIPID-P-2510	-0.034089405	-0.023881049	-0.053323424	0.0212336941230608	-0.031021662
LIPID-P-2630	-0.010368151	0.00611613933691462	0.00697763380310957	-0.034877816	-0.067168864
LIPID-P-2501	-0.024359018	-0.014322448	0.0314851504285258	-0.025678462	-0.004429337
LIPID-P-2552	-0.054834187	-0.042176928	-0.074299847	-0.018693276	-0.017649127
LIPID-P-2508	-0.060901026	-0.083790571	-0.025456862	-0.026253428	-0.051923412
LIPID-P-2637	-0.05782007	-0.020704991	-0.008602911	-0.059926245	-0.075282508
LIPID-P-2013	-0.127899702	-0.056977014	-0.015382772	-0.054004549	-0.048646458
LIPID-P-0104	-0.074341676	-0.026017854	-0.042323565	-0.010833201	-0.083234441
LIPID-P-0105	-0.040633083	-0.004309703	-0.051315245	0.0148095669754287	-0.043143037
LIPID-P-0106	-0.058114355	-0.034837846	-0.061211277	-0.03917784	-0.091460094
LIPID-P-2006	-0.050283874	0.0228556780419494	-0.062453951	0.018015955320632	-0.035063836
LIPID-P-0103	-0.012151751	-0.003484224	-0.071413234	0.0591664588866149	0.00942628055596347
LIPID-P-2020	-0.086345789	-0.078466966	-0.050193705	-0.042865701	-0.102104903
LIPID-P-2025	-0.005781591	0.0082385939373805	-0.024762759	0.0637710382484088	0.00565548759455626
LIPID-P-2028	-0.051649801	-0.046311494	-0.033503591	0.0172839666505813	-0.051042565
LIPID-P-2029	-0.039491499	-0.106539374	0.0454847156911849	-0.018699873	-0.042107558
LIPID-P-2030	-0.018475376	-0.071344403	0.0186325477358252	0.0167228896677907	0.0344482523224591
LIPID-P-0102	-0.06115021	-0.012595494	-0.052254308	0.0204790045385591	-0.037018247
LIPID-P-2451	-0.05345114	-0.085956228	0.00677986045109398	-0.046936225	-0.038050899
LIPID-P-2404	-0.098807527	-0.122064843	-0.000519314	-0.097779342	-0.059532275
LIPID-P-2406	-0.052014881	-0.081606732	0.0221904013371665	-0.026806305	-0.059585922
