ARG,Log2_Abundance,Prevalence_percent
cfrA,-1.90572181,45.09466437177281
cfrC,-5.053584,11.790017211703958
oqxA,-2.569671246,8.2616179001721175
cfrE,1.5720656152101073,59.552495697074015
AcrS,-1.824452997,26.41996557659208
QnrD1,-3.826585949,3.098106712564544
Escherichia coli parE conferring resistance to fluoroquinolones,-9.550535735,1.376936316695353
CrcB,-2.487378218,1.8072289156626504
sepA,-4.117465793,8.433734939759036
ramA,-7.295889468,1.0327022375215147
ICR-Mo,-8.739220045,1.8072289156626504
AAC(3)-IVa,-3.183086213,20.740103270223752
dfrD,-6.778774727,3.87263339070568
dfrE,-3.270558258,3.098106712564544
TRU-1,-8.305269319,0.25817555938037867
dfrF,-3.41840583,16.179001721170398
APH(3')-IIIa,4.109501026170313,79.08777969018934
dfrG,-1.409655612,19.793459552495698
Klebsiella pneumoniae OmpK37,-3.914138324,3.7865748709122204
OXA-820,-5.296050334,1.0327022375215147
FosA2,-3.834049582,1.6351118760757317
dfrL,-12.04780539,0.34423407917383825
FosA3,-2.764249035,11.101549053356283
Erm(51),-5.637303973,9.38037865748709
RbpA,-7.49137505,1.2908777969018932
FosA8,-2.035643437,7.228915662650602
CcrA,-7.181412573,1.7211703958691909
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,-2.618305866,26.41996557659208
efrA,-4.037880918,3.5283993115318415
ACT-56,-5.356806932,1.376936316695353
fusC,-10.15948827,1.9793459552495698
fusD,-10.12386173,2.1514629948364887
Escherichia coli mdfA,-1.860152204,35.800344234079176
vanRB,-11.26146084,0.9466437177280551
vanRC,-1.828766573,7.83132530120482
vanRG,-7.41169172,11.015490533562824
tet(44),2.3511857691666744,77.19449225473322
tet(40),1.5382638207275972,71.6867469879518
vanRI,-10.65390305,0.17211703958691912
Vibrio anguillarum chloramphenicol acetyltransferase,-0.194436906,60.8433734939759
AAC(6')-Ib',-3.778974529,15.146299483648882
APH(3')-IIa,-3.870912127,3.356282271944923
mecR1,-7.665331363,1.2908777969018932
Erm(36),-3.995345877,12.650602409638553
AAC(6')-Ib7,-2.687025177,22.63339070567986
emrA,-2.881992314,37.693631669535286
AAC(6')-Ib8,-4.46651597,8.777969018932874
AAC(6')-Ib9,-7.977638556,1.6351118760757317
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,-1.314060753,45.438898450946645
CTX-M-55,-1.886907567,15.060240963855422
Rhodobacter sphaeroides ampC beta-lactamase,-6.92410263,6.024096385542169
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,-9.48254071,1.4629948364888123
LptD,-3.492992321,2.753872633390706
emrK,-3.465731504,16.265060240963855
Campylobacter coli chloramphenicol acetyltransferase,-0.203977974,60.06884681583477
ACI-1,-5.241884592,14.716006884681585
emrR,0.17212244789413758,44.40619621342513
emrY,-3.894014232,17.38382099827883
ANT(3'')-IIa,0.02216712475551927,66.35111876075732
ANT(3'')-IIb,-7.477452026,4.130808950086059
aad(6),-0.001559316,61.35972461273666
APH(2'')-IIa,-8.275206786,1.6351118760757317
tet(X5),-3.405175564,10.499139414802066
APH(3')-VIIa,-7.708185992,2.9259896729776247
tet(X1),-9.570868781,1.6351118760757317
Vibrio cholerae varG,-9.319129847,0.9466437177280551
dfrA20,-9.109186282,2.0654044750430294
MCR-1.1,-2.994201318,5.679862306368331
Acinetobacter baumannii AbaQ,-5.2154513,3.87263339070568
YojI,-3.623824404,24.69879518072289
Escherichia coli emrE,-0.071602328,37.77969018932875
dfrA27,-0.276165566,39.84509466437177
Erm(48),-9.963023211,0.8605851979345954
tmrB,-8.489148729,2.753872633390706
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),-7.742783715,6.454388984509467
OXA-136,-1.060286587,35.714285714285715
LnuH,-4.35241481,15.146299483648882
tet(W),5.671948830691595,87.8657487091222
tet(S),-1.179904442,54.38898450946644
tet(O),4.67144044924791,89.50086058519794
tet(K),-1.429455023,10.499139414802066
LnuP,0.15738897450053546,44.922547332185886
tet(C),-5.65507093,12.306368330464716
tet(33),-3.228965435,19.965576592082616
tetB(P),2.3368831053151875,77.28055077452667
marA,0.016683077273983344,29.43201376936317
arr-2,-2.029696229,39.672977624784856
arr-3,0.32852909151469517,38.468158347676415
msr(I),-10.30930879,2.323580034423408
arr-8,-10.77697701,0.34423407917383825
QnrA3,-9.379442654,1.2048192771084338
AAC(6')-Ib-cr3,-9.012505901,3.356282271944923
AAC(6')-Ib-cr6,-1.139509935,21.25645438898451
Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,-3.880635836,13.855421686746988
vanB,-10.97609622,1.2048192771084338
vanC,-1.550028007,9.38037865748709
vanF,-4.899583729,36.40275387263339
vanG,-1.044156712,63.25301204819277
FosB3,-1.296883252,38.55421686746988
Erm(52),-0.112909415,58.34767641996558
Sed-1,-12.37664295,0.08605851979345956
almE,-9.757164953,1.4629948364888123
ugd,-4.19584944,22.63339070567986
almF,-8.344204563,0.4302925989672977
almG,-9.42541123,0.774526678141136
OXA-1,-3.298020998,9.63855421686747
acrB,-2.483857368,30.98106712564544
tet(W/N/W),2.0662068261440734,78.14113597246127
acrD,-3.310071598,34.33734939759036
QnrVC5,-8.825143587,1.8932874354561102
leuO,-1.72874033,19.535283993115318
cpxA,-1.796464051,36.660929432013766
norC,-3.658665666,12.994836488812393
sul1,-0.892045411,47.50430292598967
sul2,0.9480041522882076,68.93287435456111
sul3,-4.38370221,3.87263339070568
vanWB,-4.373750985,39.070567986230635
ADC-43,-5.425542864,1.376936316695353
sul4,-10.67734084,1.376936316695353
ykkC,-6.507056578,2.753872633390706
vanSB,-12.85144593,0.4302925989672977
ykkD,-6.999012809,2.495697074010327
tet(O/W/32/O),2.3940364960023164,66.95352839931154
vanWG,-2.442647741,40.103270223752155
tet(45),3.659395823090003,87.77969018932875
vanWI,-3.89834848,27.882960413080895
FosBx1,-2.701992272,11.962134251290877
TEM-1,-0.1109593,39.586919104991395
EC-14,-1.711146634,38.03786574870912
EC-15,-1.588074232,48.88123924268503
FosD,-4.662945231,3.1841652323580036
PC1 beta-lactamase (blaZ),-8.855223808,2.2375215146299485
DHA-1,-9.339494344,1.549053356282272
FosG,-11.13722821,0.17211703958691912
Escherichia coli soxS with mutation conferring antibiotic resistance,0.34120482115621653,25.559380378657487
BRO-2,-9.672954901,0.6884681583476765
FosK,-8.924013524,1.0327022375215147
OXA-912,-4.285612565,0.6024096385542169
eptA,-2.656077216,31.153184165232357
eptB,-3.067700468,3.614457831325301
Escherichia coli acrA,-1.306183929,28.57142857142857
mphA,-3.123337227,4.733218588640275
cfr(D),-3.485704143,4.647160068846816
mphC,-5.947276739,3.87263339070568
CTX-M-65,-6.67371585,2.0654044750430294
mphE,-5.480396368,8.950086058519794
mphF,-10.69552349,0.8605851979345954
OXA-334,-10.17690094,0.8605851979345954
mphG,-6.694293163,8.089500860585199
mphK,-10.06605488,0.4302925989672977
spd,-7.351631984,2.5817555938037864
DfrB9,-6.88804754,1.2908777969018932
mphO,-5.924832115,9.122203098106713
mdtA,-2.785557621,27.022375215146297
mdtB,-3.138102407,27.710843373493976
mdtC,-11.94836399,0.5163511187607573
mdtE,-2.847893688,24.182444061962137
mdtF,-2.329857416,35.88640275387263
mdtG,-3.484867782,20.740103270223752
mdtH,-2.977038489,29.862306368330465
mdtM,-2.300167233,38.81239242685026
mdtN,-1.722645684,39.24268502581756
mdtO,-3.841480016,28.57142857142857
mdtP,-2.462155691,33.13253012048193
