SampleID,V1,V2,V3,breed,application,shape_id
SHCC168A,0.008457012230858159,-0.064928077,-0.053608009,SRD,dual_type,SRD-JiAn
SHCC169A,0.1398568515968521,0.029103086536120353,0.040680491429697034,SRD,dual_type,SRD-JiAn
SHCC16A,0.08455431376327505,-0.08798704,-0.139428801,SRD,dual_type,SRD-JiAn
SHCC170A,0.1689374018451115,-0.018052363,0.010096830896910146,SRD,dual_type,SRD-JiAn
SHCC171A,0.016126305556004222,-0.05372493,0.046606624122936965,SRD,dual_type,SRD-JiAn
SHCC172A,0.22697861899751579,0.11931026002328923,0.0896775885822028,SRD,dual_type,SRD-JiAn
SHCC173A,0.23077698160161156,0.1609136722101655,0.042847655003621116,SRD,dual_type,SRD-JiAn
SHCC174A,0.1464679702941461,-0.018418563,-0.01064805,SRD,dual_type,SRD-JiAn
SHCC175A,-0.019276669,-0.102944543,-0.022747303,SRD,dual_type,SRD-JiAn
SHCC176A,0.04903801541749531,0.009666771674091105,0.06442579933423678,SRD,dual_type,SRD-JiAn
SHCC177A,0.0422568972488434,-0.105150332,-0.026198389,SRD,dual_type,SRD-JiAn
SHCC178A,0.06772706833185327,-0.058208813,-0.172619092,SRD,dual_type,SRD-JiAn
SHCC179A,-0.01148295,0.012547618129512881,-0.01362999,SRD,dual_type,SRD-JiAn
SHCC17A,0.0797649409534036,-0.080003791,-0.075423378,SRD,dual_type,SRD-JiAn
SHCC180A,0.0058780153697003635,-0.073010133,0.03389111649221126,SRD,dual_type,SRD-JiAn
SHCC181A,-0.017479536,-0.099215118,-0.04167169,SRD,dual_type,SRD-JiAn
SHCC182A,0.10325045454640334,-0.037639615,0.03660662505656812,SRD,dual_type,SRD-JiAn
SHCC183A,0.20301833854926118,0.07598575406477581,0.06139321104316549,SRD,dual_type,SRD-JiAn
SHCC184A,0.004269822338044951,-0.075975254,0.031009607591557995,SRD,dual_type,SRD-JiAn
SHCC185B,-0.093204951,0.0017614903077137693,0.12877879471646453,SRD,dual_type,SRD-JiAn
SHCC186A,0.04507446824829287,-0.091755821,-0.015306514,SRD,dual_type,SRD-JiAn
SHCC187A,0.1053302032597219,-0.004478572,0.05850174856102275,SRD,dual_type,SRD-JiAn
SHCC188A,0.05478887572358712,-0.041005273,0.006440477363847233,SRD,dual_type,SRD-JiAn
SHCC189A,0.028688266921722924,-0.05759202,-0.046886197,SRD,dual_type,SRD-JiAn
SHCC18A,0.04650059577958483,-0.092786693,-0.116693568,SRD,dual_type,SRD-JiAn
SHCC190A,0.028999944598551385,-0.096379885,-0.035242646,SRD,dual_type,SRD-JiAn
SHCC191A,-0.002650652,-0.10098765,-0.019073492,SRD,dual_type,SRD-JiAn
