Sample,total_abundance,gut_locations
SHCC154A,419.937455,large_intestine
SHCC155A,429.81941,large_intestine
SHCC156A,432.605532,large_intestine
SHCC157B,372.23253,large_intestine
SHCC158A,290.330047,large_intestine
SHCC159A,353.749404,large_intestine
SHCC15A,553.552669,large_intestine
SHCC160B,334.6818,large_intestine
SHCC161A,445.412299,large_intestine
SHCC162A,504.586292,large_intestine
SHCC163A,445.500346,large_intestine
SHCC164B,472.120632,large_intestine
SHCC165A,452.319089,large_intestine
SHCC166A,623.909947,large_intestine
SHCC167A,679.818432,large_intestine
SHCC168A,507.833958,large_intestine
SHCC169A,359.978828,large_intestine
SHCC16A,409.210441,large_intestine
SHCC170A,351.907127,large_intestine
SHCC171A,488.465988,large_intestine
SHCC172A,280.149282,large_intestine
SHCC173A,259.267668,large_intestine
SHCC174A,364.376865,large_intestine
SHCC175A,516.63844,large_intestine
SHCC176A,452.333741,large_intestine
SHCC177A,468.184754,large_intestine
SHCC178A,423.472034,large_intestine
SHCC179A,541.039854,large_intestine
SHCC17A,403.576298,large_intestine
SHCC180A,507.551389,large_intestine
SHCC181A,576.910978,large_intestine
SHCC182A,407.472968,large_intestine
SHCC183A,293.134343,large_intestine
SHCC184A,508.587839,large_intestine
SHCC185B,625.919536,large_intestine
SHCC186A,464.426354,large_intestine
SHCC187A,420.413805,large_intestine
SHCC188A,451.714499,large_intestine
SHCC189A,460.385269,large_intestine
SHCC18A,452.16924,large_intestine
SHCC190A,497.4927,large_intestine
SHCC191A,502.7078,large_intestine
SHCC192A,490.246945,large_intestine
SHCC193A,441.966128,large_intestine
SHCC194A,392.55543,large_intestine
SHCC195A,422.515248,large_intestine
SHCC196A,704.475022,large_intestine
SHCC197A,495.15302,large_intestine
SHCC198A,341.101087,large_intestine
SHCC199A,527.145426,large_intestine
SHCC19A,206.330203,large_intestine
SHCC1A,527.180651,large_intestine
SHCC200A,431.022271,large_intestine
SHCC201A,532.687202,large_intestine
SHCC202A,501.488789,large_intestine
SHCC203A,477.592301,large_intestine
SHCC204B,561.217504,large_intestine
SHCC205A,503.178372,large_intestine
SHCC206A,528.271523,large_intestine
SHCC207A,463.580479,large_intestine
