Sample,high_risk_ARG_abundance,gut_locations
SHCC18A,269.283495,large_intestine
SHCC190A,274.776049,large_intestine
SHCC191A,287.46665,large_intestine
SHCC192A,268.036646,large_intestine
SHCC193A,233.738475,large_intestine
SHCC194A,206.567648,large_intestine
SHCC195A,225.524033,large_intestine
SHCC196A,339.995083,large_intestine
SHCC197A,257.772462,large_intestine
SHCC198A,181.662024,large_intestine
SHCC199A,292.22202599999997,large_intestine
SHCC19A,77.248181,large_intestine
SHCC1A,322.290125,large_intestine
SHCC200A,228.377977,large_intestine
SHCC201A,306.269098,large_intestine
SHCC202A,282.851959,large_intestine
SHCC203A,224.603854,large_intestine
SHCC204B,313.827043,large_intestine
SHCC205A,241.558282,large_intestine
SHCC206A,289.082656,large_intestine
SHCC207A,257.831617,large_intestine
SHCC208A,255.207801,large_intestine
SHCC209A,256.07475800000003,large_intestine
SHCC20A,176.56716,large_intestine
SHCC210A,322.264317,large_intestine
SHCC211A,206.32932300000002,large_intestine
SHCC212A,282.802573,large_intestine
SHCC213A,231.217039,large_intestine
SHCC214A,228.802151,large_intestine
SHCC215A,186.949183,large_intestine
SHCC216A,219.995525,large_intestine
SHCC217A,295.77227,large_intestine
SHCC218A,212.683889,large_intestine
SHCC219A,268.06052,large_intestine
SHCC21A,83.935176,large_intestine
SHCC220A,109.785184,large_intestine
SHCC221A,215.934775,large_intestine
SHCC222A,214.070742,large_intestine
SHCC223A,195.56967,large_intestine
SHCC224A,281.393128,large_intestine
SHCC225B,242.988462,large_intestine
SHCC226A,280.108657,large_intestine
SHCC227A,312.110014,large_intestine
SHCC228A,274.54147,large_intestine
SHCC229A,251.323726,large_intestine
SHCC22A,46.606719,large_intestine
SHCC230A,254.84011,large_intestine
SHCC231A,253.358467,large_intestine
SHCC232A,254.225438,large_intestine
SHCC233A,90.233206,large_intestine
SHCC234B,222.10819600000002,large_intestine
SHCC235A,342.58879,large_intestine
SHCC236A,217.763787,large_intestine
SHCC237A,116.502186,large_intestine
SHCC238A,209.666621,large_intestine
SHCC239A,76.616972,large_intestine
SHCC23A,146.694572,large_intestine
SHCC240A,238.147017,large_intestine
SHCC241A,249.06719800000002,large_intestine
SHCC242A,277.413607,large_intestine
SHCC243A,298.87758,large_intestine
SHCC244A,268.734856,large_intestine
SHCC245A,111.669792,large_intestine
SHCC246A,258.077864,large_intestine
SHCC247A,221.076321,large_intestine
SHCC248A,242.809753,large_intestine
SHCC249A,287.910173,large_intestine
SHCC24A,204.70579,large_intestine
SHCC250A,272.727559,large_intestine
SHCC251B,288.337425,large_intestine
SHCC252A,289.351477,large_intestine
SHCC253A,285.600975,large_intestine
SHCC254B,337.125594,large_intestine
SHCC255B,183.803948,large_intestine
SHCC256A,272.908574,large_intestine
SHCC257A,197.144933,large_intestine
SHCC258A,228.951376,large_intestine
SHCC259A,240.704206,large_intestine
SHCC25A,246.128231,large_intestine
SHCC260A,191.245055,large_intestine
SHCC261A,276.044614,large_intestine
SHCC262A,303.438889,large_intestine
SHCC263A,239.614091,large_intestine
SHCC264A,277.656237,large_intestine
SHCC265A,291.713913,large_intestine
SHCC266B,280.127033,large_intestine
SHCC267A,265.513484,large_intestine
SHCC268A,239.348384,large_intestine
SHCC269A,217.58692100000002,large_intestine
SHCC26B,321.270741,large_intestine
SHCC270A,263.357927,large_intestine
SHCC271B,313.64939999999996,large_intestine
SHCC272B,324.38912,large_intestine
SHCC273B,209.227199,large_intestine
SHCC274A,306.013711,large_intestine
SHCC275A,120.875681,large_intestine
SHCC276A,428.313354,large_intestine
SHCC277A,166.890908,large_intestine
SHCC278A,242.177398,large_intestine
SHCC279A,214.40003,large_intestine
SHCC27A,279.345239,large_intestine
SHCC280A,173.033637,large_intestine
SHCC281A,302.725471,large_intestine
SHCC282A,207.592879,large_intestine
SHCC283A,247.108572,large_intestine
SHCC284A,95.228753,large_intestine
SHCC285A,343.168201,large_intestine
SHCC286A,93.703285,large_intestine
SHCC287A,278.852747,large_intestine
