Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
ICH127-1A,0.130227,0.130227,Duck
ICH150-1A,1.375859,6.310871,Duck
ICH151-1A,2.172313,4.934003,Duck
ICH180-1A,27.606949,75.047911,Duck
ICH206-1A,0.97886,0.97886,Duck
ICH210-1A,4.25984,9.033153,Duck
ICH221-1A,0.402432,0.527257,Duck
ICH227-1A,18.388917,52.581555,Duck
ICH247-1A,257.222766,591.204686,Duck
ICH250-1A,0.420338,0.722734,Duck
ICH258-1A,10.707102,19.709467,Duck
ICH259-1A,8.186561,11.329264,Duck
ICH263-1A,2.355103,3.363358,Duck
ICH277-1A,0.047072,0.047072,Duck
ICH287-1A,0.232325,0.920884,Duck
ICH294-1A,0.296059,0.296059,Duck
ICH295-1A,0.61783,0.61783,Duck
ICH306-1A,0.345173,0.555408,Duck
ICH323-1A,0.790465,0.790465,Duck
ICH324-1A,0.810305,1.347918,Duck
ICH325-1A,0.222628,0.423672,Duck
ICH326-1A,1.850813,2.228643,Duck
ICH328-1A,0.580855,0.580855,Duck
ICH340-1A,0,0,Duck
ICH346-1A,0.689849,1.127376,Duck
ICH57-1A,30.059109,60.510379,Duck
ICH93-1A,0,0,Duck
ICH95-1A,0,0,Duck
JCH108-1A,1.459296,2.113303,Duck
JCH111-1A,1.125058,1.125058,Duck
JCH112-1A,1.993762,2.784301,Duck
JCH119-1A,2.203409,2.755424,Duck
JCH127-1A,3.193917,3.513814,Duck
JCH157-1A,234.896279,484.491594,Duck
JCH180-1A,2.849922,4.53265,Duck
JCH206-1A,1.543668,1.97569,Duck
JCH209-1A,4.63185,47.174177,Duck
JCH210-1A,1.32691,1.676856,Duck
JCH247-1A,23.561292,40.742766,Duck
JCH250-1A,1.147929,1.363274,Duck
JCH258-1A,1.124376,2.559224,Duck
JCH259-1B,4.129364,8.545079,Duck
JCH263-1A,0,0.576367,Duck
JCH277-1A,0,0,Duck
JCH287-1A,0.458388,0.458388,Duck
JCH294-1A,0.48435,0.650348,Duck
JCH295-1A,0.137939,0.137939,Duck
JCH306-1A,0,0.115203,Duck
JCH323-1A,0.407824,0.744256,Duck
JCH324-1A,0.269252,0.496787,Duck
JCH325-1A,0,0,Duck
JCH326-1A,1.13354,1.350268,Duck
JCH328-1A,0,1.920994,Duck
JCH340-1A,0.700936,0.700936,Duck
JCH346-1A,0.141899,0.287443,Duck
JCH57-1A,3.921427,5.617438,Duck
JCH74-1A,2.840237,3.109586,Duck
JCH93-1A,1.294807,2.371573,Duck
JCH95-1A,1.29201,1.63907,Duck
MCH108B,88.628807,186.479021,Duck
MCH111A,13.250439,23.07982,Duck
MCH112B,25.600972,68.103853,Duck
MCH119B,32.133947,83.473838,Duck
MCH127B,25.207311,52.37397,Duck
MCH151A,0.437196,1.720704,Duck
MCH156B,0.19373,0.596043,Duck
MCH221A,15.780331,71.911343,Duck
MCH259B,22.185918,49.103022,Duck
MCH277B,36.736835,89.10952,Duck
MCH287B,10.769005,41.847624,Duck
MCH294B,8.497302,25.054739,Duck
MCH295B,18.093429,72.083271,Duck
MCH306A,1.729966,4.75107,Duck
MCH323B,13.767437,52.426302,Duck
MCH324B,41.296286,132.017337,Duck
MCH325B,60.748617,132.087665,Duck
MCH326B,75.473775,319.644197,Duck
MCH328B,30.532326,96.499763,Duck
MCH340B,29.390687,85.480221,Duck
MCH346B,21.467143,62.42658,Duck
MCH74B,29.267743,91.154292,Duck
MCH95A,3.157601,6.330811,Duck
SHCC100A,213.806045,308.878483,Duck
SHCC101A,194.094653,298.888783,Duck
SHCC102A,257.132975,373.528645,Duck
SHCC103A,268.273712,371.233385,Duck
SHCC104A,253.229048,351.918728,Duck
SHCC105A,296.899128,410.862096,Duck
SHCC106A,288.153917,434.526261,Duck
SHCC107A,148.256955,227.659927,Duck
SHCC108A,245.523383,357.655554,Duck
SHCC109A,153.651467,229.97742,Duck
SHCC10A,255.045899,376.165782,Duck
SHCC110A,256.958772,395.127075,Duck
SHCC111A,229.48462,357.537805,Duck
SHCC112A,279.900768,418.126844,Duck
SHCC113A,253.276611,363.237696,Duck
SHCC114A,254.766333,366.978932,Duck
SHCC115A,252.817839,411.786346,Duck
SHCC116A,237.81385,343.446787,Duck
SHCC117A,249.747085,350.064288,Duck
SHCC118A,20.601946,33.506338,Duck
SHCC119A,229.038245,329.901428,Duck
SHCC11A,223.733997,340.139295,Duck
SHCC120A,47.476656,104.157188,Duck
SHCC121A,222.09879,321.32573,Duck
SHCC122B,271.038733,421.524797,Duck
SHCC123A,191.615732,277.405381,Duck
SHCC124B,293.384031,428.218526,Duck
SHCC125A,216.281564,309.254422,Duck
SHCC126A,266.741633,381.185339,Duck
SHCC127A,59.293637,128.756538,Duck
SHCC128A,254.41223,364.773909,Duck
SHCC129A,74.52022,142.379575,Duck
SHCC12A,251.23102,359.694002,Duck
SHCC130A,205.363545,294.722076,Duck
SHCC131A,193.831934,288.460083,Duck
SHCC132A,227.412467,312.945018,Duck
SHCC133A,165.069394,240.236804,Duck
SHCC134A,144.228109,241.870213,Duck
SHCC135A,263.943083,397.382603,Duck
SHCC136A,232.904703,361.59076,Duck
SHCC137A,232.62332,337.891829,Duck
SHCC138A,277.80028,461.453436,Duck
SHCC139A,307.455595,434.495685,Duck
SHCC13A,223.032878,335.271423,Duck
SHCC140A,210.153547,307.847399,Duck
SHCC141A,305.362301,402.43027,Duck
SHCC142B,239.567312,383.103134,Duck
SHCC143A,255.796397,358.55345,Duck
SHCC144A,202.420545,302.360546,Duck
SHCC145A,163.37066,248.035086,Duck
SHCC146A,253.694602,372.550755,Duck
SHCC147A,236.188077,335.391691,Duck
SHCC148A,259.957422,396.252473,Duck
SHCC149A,265.863113,397.35603,Duck
SHCC14A,43.559141,121.409672,Duck
SHCC150A,238.365156,340.721212,Duck
SHCC151A,252.893219,353.364503,Duck
SHCC152A,210.191992,326.184533,Duck
SHCC153A,192.738825,290.811595,Duck
SHCC154A,213.969457,328.74571,Duck
SHCC155A,242.443907,356.377425,Duck
SHCC156A,242.153512,358.463457,Duck
SHCC157B,204.679839,316.766538,Duck
SHCC158A,141.197159,238.278007,Duck
SHCC159A,201.100519,301.980051,Duck
SHCC15A,282.93927,441.868706,Duck
SHCC160B,167.036154,280.689077,Duck
SHCC161A,257.051225,376.905607,Duck
SHCC162A,286.640262,408.499752,Duck
SHCC163A,217.673637,374.002619,Duck
SHCC164B,271.437356,398.243307,Duck
SHCC165A,241.37262,356.491822,Duck
SHCC166A,300.584025,481.424956,Duck
SHCC167A,385.260469,547.699296,Duck
SHCC168A,305.79279,426.438385,Duck
SHCC169A,198.633876,297.770571,Duck
SHCC16A,270.022141,368.169743,Duck
SHCC170A,183.187771,295.714637,Duck
SHCC171A,263.354172,394.684668,Duck
SHCC172A,140.98785,224.527841,Duck
SHCC173A,129.7096,226.941528,Duck
SHCC174A,200.942586,302.249047,Duck
SHCC175A,309.347092,450.886883,Duck
SHCC176A,235.787633,361.455961,Duck
SHCC177A,285.556864,390.611445,Duck
SHCC178A,271.607893,373.246978,Duck
SHCC179A,306.490723,448.483991,Duck
SHCC17A,248.186116,349.965018,Duck
SHCC180A,275.674272,406.261512,Duck
SHCC181A,297.881778,480.502998,Duck
SHCC182A,215.759427,320.557216,Duck
SHCC183A,150.189042,242.573926,Duck
SHCC184A,270.508483,406.891977,Duck
SHCC185B,328.771833,497.161024,Duck
SHCC186A,260.31239,372.028834,Duck
SHCC187A,195.969729,350.228569,Duck
SHCC188A,256.740225,373.052491,Duck
SHCC189A,286.924319,396.979476,Duck
SHCC18A,282.233455,396.459792,Duck
SHCC190A,285.80926,403.979477,Duck
SHCC191A,296.994696,410.273373,Duck
SHCC192A,275.28251,393.940598,Duck
SHCC193A,243.222224,347.989276,Duck
SHCC194A,216.475214,326.54879,Duck
SHCC195A,226.984032,350.336477,Duck
SHCC196A,348.949138,527.202695,Duck
SHCC197A,263.498655,386.698879,Duck
SHCC198A,189.720246,286.026085,Duck
SHCC199A,302.146146,433.024583,Duck
SHCC19A,91.127705,184.486312,Duck
SHCC1A,336.012884,440.448335,Duck
SHCC200A,231.85449,346.010727,Duck
SHCC201A,316.829181,443.680149,Duck
SHCC202A,290.532971,404.78785,Duck
SHCC203A,235.002719,393.033596,Duck
SHCC204B,323.547755,462.724255,Duck
SHCC205A,251.969359,399.812609,Duck
SHCC206A,305.548997,421.411704,Duck
SHCC207A,267.704824,378.633537,Duck
SHCC208A,262.228241,381.905207,Duck
SHCC209A,264.848442,382.826366,Duck
SHCC20A,189.273386,296.545286,Duck
SHCC210A,331.268954,470.753619,Duck
SHCC211A,211.385758,295.850594,Duck
SHCC212A,294.147461,416.548485,Duck
SHCC213A,239.677366,361.699778,Duck
SHCC214A,237.394037,362.211841,Duck
SHCC215A,192.129174,305.120819,Duck
SHCC216A,228.241251,345.434874,Duck
SHCC217A,311.112027,472.454129,Duck
SHCC218A,226.360371,376.499144,Duck
SHCC219A,277.939123,387.977142,Duck
SHCC21A,94.565899,223.563195,Duck
SHCC220A,122.813841,214.268653,Duck
SHCC221A,228.565253,368.721871,Duck
SHCC222A,220.65269,328.939416,Duck
SHCC223A,206.585213,325.353472,Duck
SHCC224A,289.381257,424.078616,Duck
SHCC225B,253.706515,355.271805,Duck
SHCC226A,286.701407,388.509519,Duck
SHCC227A,319.014139,438.075974,Duck
SHCC228A,286.183206,428.823047,Duck
SHCC229A,254.443138,377.747382,Duck
SHCC22A,53.055163,90.856689,Duck
SHCC230A,269.116897,381.3966,Duck
SHCC231A,264.237699,367.525396,Duck
SHCC232A,270.463414,389.938315,Duck
SHCC233A,97.539291,189.199122,Duck
SHCC234B,225.584115,325.037971,Duck
SHCC235A,366.96948,470.718372,Duck
SHCC236A,228.603616,382.03192,Duck
SHCC237A,118.571732,205.327481,Duck
SHCC238A,217.340255,347.965998,Duck
SHCC239A,85.777371,186.328184,Duck
SHCC23A,156.852106,240.582984,Duck
SHCC240A,246.079786,407.437148,Duck
SHCC241A,259.183067,378.949138,Duck
SHCC242A,286.803067,399.16147,Duck
SHCC243A,308.58846,446.862851,Duck
SHCC244A,279.997801,424.628622,Duck
SHCC245A,117.109094,239.779739,Duck
SHCC246A,268.044286,402.663641,Duck
SHCC247A,221.243382,384.132768,Duck
SHCC248A,255.77702,395.493461,Duck
SHCC249A,302.87282,415.638829,Duck
SHCC24A,215.504652,341.958746,Duck
SHCC250A,266.515522,362.899425,Duck
SHCC251B,301.467862,451.0519,Duck
SHCC252A,301.882393,425.388293,Duck
SHCC253A,292.280885,406.939607,Duck
SHCC254B,350.574155,544.76747,Duck
SHCC255B,203.158125,326.838711,Duck
SHCC256A,276.156472,388.878654,Duck
SHCC257A,201.739145,295.312132,Duck
SHCC258A,237.925579,334.065519,Duck
SHCC259A,250.936002,378.397769,Duck
SHCC25A,255.86415,372.075136,Duck
SHCC260A,197.801225,307.837871,Duck
SHCC261A,283.57449,390.134199,Duck
SHCC262A,313.361089,417.788073,Duck
SHCC263A,252.321273,387.326823,Duck
SHCC264A,290.070041,422.563336,Duck
SHCC265A,294.79133,390.620838,Duck
SHCC266B,288.497026,424.549376,Duck
SHCC267A,275.447389,433.27406,Duck
SHCC268A,243.685392,357.397519,Duck
SHCC269A,231.362924,343.301799,Duck
SHCC26B,343.65218,548.680714,Duck
SHCC270A,272.030837,403.887133,Duck
SHCC271B,325.108369,453.70767,Duck
SHCC272B,330.045774,469.68771,Duck
SHCC273B,216.376346,348.800611,Duck
SHCC274A,314.400766,459.257199,Duck
SHCC275A,129.626096,219.38435,Duck
SHCC276A,433.638395,569.488268,Duck
SHCC277A,188.100353,291.885605,Duck
SHCC278A,246.758316,373.062538,Duck
SHCC279A,218.05016,327.153949,Duck
SHCC27A,292.893058,402.378129,Duck
SHCC280A,179.608482,270.327175,Duck
SHCC281A,320.646549,429.248382,Duck
SHCC282A,228.689745,360.922856,Duck
SHCC283A,255.556809,359.114929,Duck
SHCC284A,106.002499,198.575359,Duck
SHCC285A,354.972057,480.755771,Duck
SHCC286A,97.958588,176.67972,Duck
SHCC287A,290.58035,467.12366,Duck
SHCC288A,348.729362,509.425846,Duck
SHCC289A,310.792703,431.69927,Duck
SHCC28B,244.33755,342.47974,Duck
