Sample,total_abundance,gut_locations
SHCC169A,297.770571,CC
SRR29354216,297.727073,CC
SRR21163418,296.664391,CR
SHCC20A,296.545286,CC
SRR21163461,296.450345,IC
SRR27680232,296.332709,IC
SHCC211A,295.850594,CC
SHCC170A,295.714637,CC
FDM20B,295.363193,Feces
SHCC257A,295.312132,CC
FH227B,295.311115,Feces
SHCC130A,294.722076,CC
SHCC64A,293.766921,CC
FDM15A,293.137439,Feces
SHCC277A,291.885605,CC
FM8B,290.853014,Feces
SHCC153A,290.811595,CC
SRR29354205,289.876371,CC
SHCC96A,289.375421,CC
SHCC131A,288.460083,CC
SHCC198A,286.026085,CC
SHCC97A,283.706823,CC
SRR29472733,281.405361,CC
SHCC160B,280.689077,CC
FJY19A,279.410419,Feces
CCS30A,278.819651,CC
SHCC123A,277.405381,CC
FDM29B,277.04894,Feces
CCS28B,276.802787,CC
SRR29472731,274.897611,CC
SHIC111A,274.703709,IC
SHCC280A,270.327175,CC
CCS17A,268.523227,CC
SRR21163525,267.608253,CR
SRR29472744,263.932468,CC
CCS18A,263.602928,CC
FDM18A,261.609829,Feces
SRR29472745,260.930945,CC
CCH287A,252.857184,CC
FH127B,251.110305,Feces
SHCC72A,250.592101,CC
SHCC145A,248.035086,CC
SHCC48A,246.757621,CC
SHCC62A,244.864626,CC
SRR29536178,244.271367,CC
SHCC183A,242.573926,CC
SHCC134A,241.870213,CC
SHMC294B,241.623549,MS
SHCC23A,240.582984,CC
SHCC133A,240.236804,CC
SHCC245A,239.779739,CC
SHCC158A,238.278007,CC
SRR29536171,236.185833,CC
FH95B,236.128666,Feces
BKDN170794394-1A,232.326397,Feces
FDM23A,231.245053,Feces
SHCC109A,229.97742,CC
SHCC107A,227.659927,CC
SHCC173A,226.941528,CC
FJY63B,225.089752,Feces
SHCC172A,224.527841,CC
FDM34B,224.097954,Feces
SHCC21A,223.563195,CC
SRR21163458,222.50448,IC
SRR27680230,222.497835,IC
SHCC275A,219.38435,CC
FDM17B,216.077244,Feces
SHCC220A,214.268653,CC
SHCC2A,213.946694,CC
SRR29472730,207.551089,CC
SRR27680214,206.705911,IC
SRR21163465,206.613886,IC
